Año,mes_comienzo,mes_finalización,fecha_única,afluencia_público,programación,actividades,público_destinatario,iniciativa_museo,co-producción_IM,co-producción_externos,externa
2023,enero,enero,no,2913,CARAL,Exposición,Todo Público,No ,No aplica,Embajadas,No aplica
2023,febrero,febrero,no,3123,“ENTRE ORIENTALES”,Exposición,Todo Público,Si ,No aplica,Embajadas,No aplica
2023,marzo,marzo,no,1682,NO SOLO MUSAS,Exposición,Todo Público,Si ,No aplica,No aplica,No aplica
2023,marzo,marzo,si,,Lectura pública MEDEA,Conversatorio,Todo Público,Si ,Elencos Estables,No aplica,No aplica
2023,abril,mayo,no ,2111,SABERNOS PARTE,Exposición,Todo Público,Si ,No aplica,No aplica,No aplica
2023,mayo,mayo,si,,SABERNOS PARTE,Conversatorio,Todo Público,Si ,No aplica,No aplica,No aplica
2023,abril,mayo,no,964,BELLO SAN PETERSBURGO,Exposición,Todo Público,Si ,No aplica,No aplica,No aplica
2023,mayo,mayo,no,2644,CACHEIRO,Exposición,Todo Público,Si ,No aplica,Artistas independientes,No aplica
2023,junio,julio,no,2953,"NIÑOS, ANGELITOS, AMORCILLOS Y QUERUBINES",Exposición,Infancia ,Si ,No aplica,No aplica,No aplica
2023,junio,junio,si,,Charla Amasando recuerdos,Conversatorio,Todo Público,Si ,No aplica,No aplica,No aplica
2023,julio,julio,no,,El Museo en vacaciones,Visita Guiada,Infancia ,Si ,No aplica,No aplica,No aplica
2023,julio,agosto,no,3290,CREA TU PROPIA LEYENDA,Exposición,Infancia ,Si ,No aplica,No aplica,No aplica
2023,agosto,septiembre,no,7650,TREINTA MIL MILLAS,Exposición,Todo Público,Si ,No aplica,No aplica,No aplica
2023,septiembre,septiembre,si,,Tus trazos en el Muhar,Exposición,Infancia ,Si ,No aplica,No aplica,No aplica
2023,septiembre,octubre,no,2474,ALTAR DÍA DE MUERTOS,Exposición,Todo Público,Si ,No aplica,Embajadas,No aplica
2023,octubre,octubre,no,,Patrimonio en el Muhar,Exposición,Todo Público,Si ,No aplica,No aplica,No aplica
2023,noviembre,noviembre,si,,Mors Celare / 8 proyecto gato,Performance,Todo Público,Si ,No aplica,Embajadas,No aplica
2023,noviembre,noviembre,si,,Charla festividad día de los muertos,Conversatorio,Todo Público,Si ,No aplica,Embajadas,No aplica
2023,noviembre,noviembre,si,1841,MUSEOS EN LA NOCHE,Conversatorio,Todo Público,Si ,No aplica,,No aplica
2023,noviembre,noviembre,si,,Taller / LAB 8 Proyecto GATO,Performance,Todo Público,Si ,No aplica,Embajadas,No aplica
2023,noviembre,noviembre,si,,Cortomejajes / día de los muertos,Intervensión visual ,Todo Público,Si ,No aplica,Embajadas,No aplica
2023,noviembre,noviembre,si,,Charla festividad día de los muertos,Conversatorio,Todo Público,Si ,No aplica,Embajadas,No aplica
2023,noviembre,noviembre,si,,Charla festividad día de los muertos,Conversatorio,Todo Público,Si ,No aplica,Embajadas,No aplica
2023,noviembre,noviembre,si,,Cortomejajes / día de los muertos,Intervensión visual ,Todo Público,Si ,No aplica,Embajadas,No aplica
2023,noviembre,noviembre,si,,Charla festividad día de los muertos,Conversatorio,Todo Público,Si ,No aplica,Embajadas,No aplica
2023,diciembre,diciembre,no,1328,DISTINTAS MIRADAS QUE NOS ENCUENTRAN (TEA),Exposición,Situación de discapacidad,Si ,No aplica,No aplica,No aplica
