a¤o,museo,mes_comienzo,mes_finalizaci¢n,d¡a,Programaci¢n,Actividad ,p£blico_destinatario,iniciativa_museo,Co-producci¢n_IM,Co-Producci¢n_externos,Producci¢n_externa ,Cantidad_curadores_directores_espect culos,Id_g‚nero_curadores ,Procedencia_internacional_curadores,Procedencia_nacional_curadores,Rango_edad_curadores,Cantidad_artistas,Id_g‚nero-artistas,Procedencia_internacional_artistas,Procedencia_nacional_artistas,Rango_edad_artistas,Montaje_propio,montaje_tercerizado,Cantidad_montajistas
2024,MUHAR,Enero,,,"Distintas miradas que nos encuentran, pintura de artistas con TEA",Exposici¢n,Todo P£blico,No,Otros sectores de la IM,No aplica,No aplica,1,Hombre,No aplica,No aplica,Menor de 35,,,,,,S¡,No aplica,1
2024,MUHAR,Marzo,Abril,,Mujeres que habitaron el poder desde la historia,Exposici¢n,Todo P£blico,Si,No aplica,No aplica,No aplica,2,Paritaria,No aplica,Direcci¢n del Museo,Variadas,,,,,,S¡,No aplica,3
2024,MUHAR,Junio,,6 al 15,"No mires mi caligraf¡a, mira mi coraz¢n. Exposici¢n sobre caligraf¡a china",Exposici¢n,Todo P£blico,No,No aplica,Otros,Otros,1,Hombre,No aplica,Uruguay,No aplica,,,,,,S¡,No aplica,2
2024,MUHAR,Junio,,,"No mires mi caligraf¡a, mira mi coraz¢n. Charla",Taller y/o Seminario,Todo P£blico,No,No aplica,Otros,Otros,No aplica,No aplica,No aplica,No aplica,No aplica,1,Hombre,,,,No aplica,No aplica,
2024,MUHAR,Junio,Julio,,"Jos‚ Mar¡a Silva, el inmigrante que nos leg¢ a Gardel",Exposici¢n,Todo P£blico,No,Otros sectores de la IM,No aplica,No aplica,1,Hombre,No aplica,Uruguay,Entre 35 y 50,,,,,,No,No,1
2024,MUHAR,Julio,,,"Jos‚ Mar¡a Silva, el inmigrante que nos leg¢ a Gardel",Conversatorio,Todo P£blico,Si,No aplica,Otros,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,2,Paritaria,,Uruguay,Variadas,No aplica,No aplica,
2024,MUHAR,Agosto,Setiembre,,Proyecto Visibles. Exposici¢n de fotos,Exposici¢n,Todo P£blico,No,No aplica,Artistas independientes,No aplica,2,Paritaria,No aplica,Uruguay,Variadas,,,,,,S¡,No aplica,2
2024,MUHAR,Octubre ,Octubre,,Baco: de vino y abundancia. Exposici¢n sobre Baco,Exposici¢n,Todo P£blico,Si,No aplica,No aplica,No aplica,2,Paritaria,No aplica,Direcci¢n del Museo,Variadas,,,,,,S¡,No aplica,3
2024,MUHAR,Diciembre,,13,Museos en la Noche. Presentaci¢n de cuadro Medusa de Caravaggio,Exposici¢n,Todo P£blico,Si,No aplica,No aplica,No aplica,2,Paritaria,No aplica,No aplica,Variadas,,,,,,S¡,No aplica,3
2024,MUHAR,Diciembre,,13,Museos en la Noche. Charla sobre Caravaggio y Renacimiento,Taller y/o Seminario,Todo P£blico,Si,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,1,Hombre,,No aplica,Menor de 35,No aplica,No aplica,
2024,MUHAR,Noviembre,Diciembre,,Montevideo 300: sincretismo en su historia cultural,Exposici¢n,Todo P£blico,Si,No aplica,No aplica,No aplica,1,Hombre,No aplica,No aplica,Menor de 35,,No aplica,,No aplica,No aplica,S¡,No,1
