Año,Museo ,mes_comienzo ,mes_finalización,programación,Actividades,público_destinatario,iniciativa_museo,Co-producción_IM,Co-Producción_externos,Producción_externa ,Cantidad_curadores_directores_espectáculos,Id_género_curadores ,Procedencia_internacional_curadores,Procedencia_nacional_curadores,Rango_edad_curadores,Cantidad_artistas,Id_género-artistas,Procedencia_internacional_artistas,Procedencia_nacional_artistas,Rango_edad_artistas,Montaje_propio,montaje_tercerizado,Cantidad_montajistas
2023,Subte,Enero ,Febrero,¿Porqué miraron los ojos?,Exposición,Todo Público,No ,CDF,No aplica,No aplica,1,Hombre,Latinoamérica,No aplica,Entre 35 y 50,7,Paritaria,"Brasil, Colombia",Uruguay,Variadas,No,Sí,4
2023,Subte,Enero ,Febrero,"Juegos de memoria, prácticas colectivas para pensarnos",Exposición,Todo Público,No ,CDF,No aplica,No aplica,4,Paritaria,Latinoamérica,Uruguay,Entre 35 y 50,No aplica,No aplica,No aplica,No aplica,No aplica,No,Sí,4
2023,Subte,Enero,No aplica,Reflexiones sobre Plataforma mirada interna,Conversatorio,Todo Público,No ,CDF,No aplica,No aplica,No aplica,No aplica,No aplica,Dirección del Museo,No aplica,2,Hombre,No aplica,Uruguay,Más 65,No aplica,No aplica,No aplica
2023,Subte,Febrero,No aplica,Juegos de memoria,Visita Guiada,Todo Público,No ,CDF,No aplica,No aplica,4,Paritaria,Latinoamérica,Uruguay,Entre 35 y 50,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
2023,Subte,Enero ,Febrero,El monitor plástico: diez años de archivo en línea,Exposición,Todo Público,Si ,No aplica,Colectivos Artísiticos,No aplica,Creación Colectiva,No aplica,No aplica,Dirección del Museo,Variadas,No aplica,No aplica,No aplica,No aplica,No aplica,Sí,No,1
2023,Subte,Febrero,No aplica,"Vanitas, video-instalación de danza ",Espectáculos,Todo Público,No , Salas de Teatro,No aplica,No aplica,No aplica,Hombre,No aplica,No aplica,No aplica,2,Paritaria,"Argentina, Francia",No aplica,Entre 35 y 50,No,Sí,1
2023,Subte,Marzo,Mayo,Convocatoria pública | 51 Premio Montevideo de Artes Visuales,Convocatoria Pública,Todo Público,No ,Div Artes y Ciens,Institución Privada nacional,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
2023,Subte,Marzo,Abril,Territorios con fugas,Exposición,Todo Público,Si ,No aplica,Organismos Internacionales,No aplica,1,Mujer,No aplica,Uruguay,Entre 35 y 50,1,Mujer,Israel,No aplica,Entre 35 y 50,Sí,Sí,3
2023,Subte,Marzo,Abril,Territorios con fugas: Programa Público,Taller y/o  Seminario,Todo Público,Si ,No aplica,Organismos Internacionales,No aplica,3,Mujer,No aplica,No aplica,Entre 35 y 50,1,Mujer,Israel,No aplica,Entre 35 y 50,Sí,No aplica,1
2023,Subte,Marzo,Abril,Territorios con fugas: Programa Público,Conversatorio,Todo Público,Si ,No aplica,Organismos Internacionales,No aplica,1,Mujer,No aplica,Uruguay,Entre 35 y 50,2,Mujer,Israel,Uruguay,Variadas,Sí,No aplica,No aplica
2023,Subte,Marzo,No aplica,"«Mi balcón feminista, acerca de cuidados»",Exposición,Todo Público,No ,Municipios,No aplica,No aplica,No aplica,No aplica,No aplica,Uruguay,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Sí,Sí,2
2023,Subte,Abril,No aplica,"«Mi balcón feminista, acerca de cuidados» presentación de catálogo.",Conversatorio,Todo Público,No ,Municipios,No aplica,No aplica,No aplica,No aplica,No aplica,Uruguay,Entre 35 y 50,No aplica,No aplica,No aplica,No aplica,No aplica,No,Sí,3
2023,Subte,Abril,Mayo,Techno worlds,Exposición,Todo Público,No ,No aplica,Organismos Internacionales,No aplica,No aplica,No aplica,No aplica,Dirección del Museo,No aplica,20,Paritaria,"Alemania, Brasil, Canadá, EEUU, Japón, Polonia, Reino Unido Serbia Sudáfrica ",Uruguay,Variadas,Sí,Sí,4
2023,Subte,Mayo,No aplica,Álbum de memoria / Ileana,Intervensión visual ,Todo Público,Si ,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Dirección del Museo,No aplica,1,Hombre,No aplica,Uruguay,Más 65,No,Sí,1
2023,Subte,Mayo,No aplica,Conversatorios FAARA 4,Conversatorio,Todo Público,Si ,No aplica,Institución Privada nacional,No aplica,1,Mujer,Nacional,No aplica,Entre 51 y 65,No aplica,No aplica,No aplica,No aplica,No aplica,Sí,No aplica,1
