Año,Museo ,mes_comienzo ,mes_finalización,Día,programación,Actividades,público_destinatario,iniciativa_museo,Co-producción_IM,Co-Producción_externos,Producción_externa ,Cantidad_curadores_directores_espectáculos,Id_género_curadores ,Procedencia_internacional_curadores,Procedencia_nacional_curadores,Rango_edad_curadores,Cantidad_artistas,Id_género-artistas,Procedencia_internacional_artistas,Procedencia_nacional_artistas,Rango_edad_artistas,Montaje_propio,montaje_tercerizado,Cantidad_montajistas
2024,Subte,Marzo,Marzo,No aplica,Wüfko,Exposición,Todo Público,Si ,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,1,Identidad no binaria,Chile,No aplica,Entre 35 y 50,Sí,No,1
2024,Subte,Marzo,Marzo,No aplica,"Escribir poesía, ¿vivir dónde?",Exposición,Todo Público,No ,No aplica,Instituciones Internacionales,No aplica,3,Mayoría Hombre,Latinoamérica,Uruguay,Entre 35 y 50,1,Mujer,No aplica,Uruguay,No aplica,Sí,Sí,3
2024,Subte,Marzo,Marzo,No aplica,Conversatorio FAARA 7,Conversatorio,Todo Público,Si ,No aplica,Institución Privada nacional,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,3,Mayoría Hombre,"Brasil, Venezuela",Uruguay,Entre 35 y 50,Sí,No,1
2024,Subte,Marzo ,Mayo,No aplica,"Dioramas, 300 años de Montevideo en 12 fragmentos",Exposición,Todo Público,Si ,Divisiones de la IM,UDELAR,No aplica,5 y más identificados,Mayoría Hombre,No aplica,Uruguay,Entre 35 y 50,No aplica,No aplica,No aplica,No aplica,No aplica,Sí,Sí,4
2024,Subte,Abril,No aplica,No aplica,Guerreras futuras,Exposición,Todo Público,No ,Festivales de la IM,No aplica,No aplica,1,Identidad no binaria,No aplica,Uruguay,Entre 35 y 50,1,Mujer trans,No aplica,Uruguay,Entre 51 y 65,Sí,Sí,2
2024,Subte,Abril,No aplica,No aplica,Revisión de portafolios a cargo de Cuauthémoc Medina,Convocatoria Pública,Adultos,Si ,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
2024,Subte,Mayo,No aplica,No aplica,"Ser una práctica: Poesía en armas. Conferencia de cierre de exposición Escribir poesía, ¿vivir dónde?",Conversatorio,Adultos,Si ,No aplica,Embajadas,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,1,Hombre,México,No aplica,Entre 51 y 65,Sí,No,1
2024,Subte,Mayo,No aplica,No aplica,Revisión de portafolios a cargo de Cuauthémoc Medina,Taller y/o  Seminario,Adultos,Si ,No aplica,Embajadas,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,1,Hombre,México,No aplica,Entre 51 y 65,Sí,No,1
2024,Subte,Mayo,No aplica,No aplica,Conversatorio FAARA 8,Conversatorio,Todo Público,Si ,No aplica,Institución Privada nacional,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,3,Mayoría Hombre,"Bolivia, Perú",Uruguay,Entre 35 y 50,Sí,No,1
2024,Subte,Mayo,No aplica,No aplica,"Mayo, mes de la memoria",Intervensión visual ,Todo Público,Si ,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,1,Mujer,No aplica,Uruguay,Más 65,No,Sí,1
2024,Subte,Junio,Julio,No aplica,Susurros del agua,Exposición,Todo Público,No ,No aplica,No aplica,No aplica,2,Mujer,Latinoamérica,No aplica,Entre 35 y 50,1,Mujer,No aplica,Uruguay,Más 65,Sí,No,1
2024,Subte,Junio,Julio,No aplica,0 KM,Exposición,Todo Público,Si ,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,1,Mujer,No aplica,Uruguay,Menor de 35,Sí,No,1
